lh_tile_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,4,4,8,8,12
12,1,1,5,5,9,9
13,13,2,2,6,6,10
10,14,14,3,3,7,7
11,11,15,15,0,0,4
4,8,8,12,12,1,1
5,5,9,9,13,13,2
2,6,6,10,10,14,14
3,3,7,7,11,11,15
15,0,0,4,4,8,8
12,12,1,1,5,5,9
9,13,13,2,2,6,6
10,10,14,14,3,3,7
7,11,11,15,15,0,0
4,4,8,8,12,12,1
1,5,5,9,9,13,13
2,2,6,6,10,10,14
14,3,3,7,7,11,11
15,15,5,5,5,5,5
rh_tile_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0
0,4,4,4,4,4,4
4,4,8,8,8,8,8
8,8,8,12,12,12,12
12,12,12,12,1,1,1
1,1,1,1,1,5,5
5,5,5,5,5,5,9
9,9,9,9,9,9,9
13,13,13,13,13,13,13
13,2,2,2,2,2,2
2,2,6,6,6,6,6
6,6,6,10,10,10,10
10,10,10,10,14,14,14
14,14,14,14,14,3,3
3,3,3,3,3,3,7
7,7,7,7,7,7,7
11,11,11,11,11,11,11
11,15,15,15,15,15,15
15,15,5,5,5,5,5
output_tile_incr_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,4,4,8,8,12
12,0,0,4,4,8,8
12,12,0,0,4,4,8
8,12,12,0,0,4,4
8,8,12,12,1,1,5
5,9,9,13,13,1,1
5,5,9,9,13,13,1
1,5,5,9,9,13,13
1,1,5,5,9,9,13
13,2,2,6,6,10,10
14,14,2,2,6,6,10
10,14,14,2,2,6,6
10,10,14,14,2,2,6
6,10,10,14,14,3,3
7,7,11,11,15,15,3
3,7,7,11,11,15,15
3,3,7,7,11,11,15
15,3,3,7,7,11,11
15,15,5,5,5,5,5
rh_tile_col_sched
PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,0,1,0,1,0
1,0,1,0,1,0,1
0,1,2,2,2,2,2
