swept_value,num_fproc_PEs,num_bproc_PEs,block_size,single_compute_time_cycles
1,4,4,11,58
2,3,5,15,74
3,3,5,10,92
4,4,5,23,110
5,5,6,27,126
6,6,7,31,142
7,7,7,7,158
8,7,8,39,174
9,7,9,43,190
10,7,10,47,206
