curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
8,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0
10,9,9,0,0,0,0,0
11,10,10,10,0,0,0,0
12,11,11,11,11,0,0,0
13,12,12,12,12,12,0,0
14,13,13,13,13,13,13,0
15,14,14,14,14,14,14,14
16,15,15,15,15,15,15,15
17,16,16,16,16,16,16,16
18,17,15,16,0,0,0,0
19,18,16,18,0,0,0,0
20,19,19,19,0,0,0,0
21,20,20,20,20,0,0,0
22,21,21,21,21,21,0,0
23,22,22,22,22,22,22,0
24,23,23,23,23,23,23,23
25,24,24,24,24,24,24,24
26,25,25,25,25,25,25,25
27,26,24,25,0,0,0,0
28,27,25,27,0,0,0,0
29,28,28,28,0,0,0,0
30,29,29,29,29,0,0,0
31,30,30,30,30,30,0,0
32,31,31,31,31,31,31,0
33,32,32,32,32,32,32,32
34,33,33,33,33,33,33,33
35,34,34,34,34,34,34,34
36,35,33,34,0,0,0,0
37,36,34,36,0,0,0,0
38,37,37,37,0,0,0,0
39,38,38,38,38,0,0,0
40,39,39,39,39,39,0,0
41,40,40,40,40,40,40,0
42,41,41,41,41,41,41,41
43,42,42,42,42,42,42,42
1,43,43,43,43,43,43,43
2,1,42,43,0,0,0,0
3,2,43,2,0,0,0,0
4,3,3,3,0,0,0,0
5,4,4,4,4,0,0,0
6,5,5,5,5,5,0,0
7,6,6,6,6,6,6,0
0,7,7,7,7,7,7,7
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,8,8,0,0,0,0,0
10,9,9,9,0,0,0,0
11,10,10,10,10,0,0,0
12,11,11,11,11,11,0,0
13,12,12,12,12,12,12,0
14,13,13,13,13,13,13,13
15,14,14,14,14,14,14,14
0,15,15,15,15,15,15,15
17,0,14,15,0,0,0,0
18,17,15,17,0,0,0,0
19,18,18,18,0,0,0,0
20,19,19,19,19,0,0,0
21,20,20,20,20,20,0,0
22,21,21,21,21,21,21,0
23,22,22,22,22,22,22,22
24,23,23,23,23,23,23,23
0,24,24,24,24,24,24,24
26,0,23,24,0,0,0,0
27,26,24,26,0,0,0,0
28,27,27,27,0,0,0,0
29,28,28,28,28,0,0,0
30,29,29,29,29,29,0,0
31,30,30,30,30,30,30,0
32,31,31,31,31,31,31,31
33,32,32,32,32,32,32,32
0,33,33,33,33,33,33,33
35,0,32,33,0,0,0,0
36,35,33,35,0,0,0,0
37,36,36,36,0,0,0,0
38,37,37,37,37,0,0,0
39,38,38,38,38,38,0,0
40,39,39,39,39,39,39,0
41,40,40,40,40,40,40,40
42,41,41,41,41,41,41,41
0,42,42,42,42,42,42,42
1,0,41,42,0,0,0,0
2,1,42,1,0,0,0,0
3,2,2,2,0,0,0,0
4,3,3,3,3,0,0,0
5,4,4,4,4,4,0,0
6,5,5,5,5,5,5,0
0,6,6,6,6,6,6,6
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,17,15,16,11,12,13,14
-1,17,15,18,11,12,13,14
-1,17,19,18,11,12,13,14
-1,17,19,18,20,12,13,14
-1,17,19,18,20,21,13,14
-1,17,19,18,20,21,22,14
-1,17,19,18,20,21,22,23
-1,17,19,18,20,21,22,23
-1,17,19,18,20,21,22,23
-1,26,24,25,20,21,22,23
-1,26,24,27,20,21,22,23
-1,26,28,27,20,21,22,23
-1,26,28,27,29,21,22,23
-1,26,28,27,29,30,22,23
-1,26,28,27,29,30,31,23
-1,26,28,27,29,30,31,32
-1,26,28,27,29,30,31,32
-1,26,28,27,29,30,31,32
-1,35,33,34,29,30,31,32
-1,35,33,36,29,30,31,32
-1,35,37,36,29,30,31,32
-1,35,37,36,38,30,31,32
-1,35,37,36,38,39,31,32
-1,35,37,36,38,39,40,32
-1,35,37,36,38,39,40,41
-1,35,37,36,38,39,40,41
-1,35,37,36,38,39,40,41
-1,1,42,43,38,39,40,41
-1,1,42,2,38,39,40,41
-1,1,3,2,38,39,40,41
-1,1,3,2,4,39,40,41
-1,1,3,2,4,5,40,41
-1,1,3,2,4,5,6,41
-1,1,3,2,4,5,6,7
