swept_value,num_fproc_PEs,num_bproc_PEs,block_size,single_compute_time_cycles
1,4,4,7,60
2,3,5,9,76
3,3,5,10,92
4,4,5,7,128
5,5,6,9,144
6,6,7,7,166
7,7,7,7,158
8,7,7,9,243
9,7,7,9,242
10,7,7,9,286
