lh_tile_sched
PE1,PE2,PE3,PE4,PE5
0,0,0,7,7
7,14,14,14,1
1,1,8,8,8
15,15,15,2,2
2,9,9,9,16
16,16,23,23,23
0,0,0,7,7
7,14,14,14,1
1,1,8,8,8
15,15,15,2,2
2,9,9,9,16
16,16,23,23,23
0,0,0,7,7
7,14,14,14,1
1,1,8,8,8
15,15,15,2,2
2,9,9,9,16
16,16,23,23,23
17,17,17,24,24
24,31,31,31,2
2,2,9,9,9
16,16,16,23,23
23,17,17,17,24
24,24,31,31,31
25,25,25,32,32
32,17,17,17,24
24,24,31,31,31
25,25,25,32,32
32,40,40,40,47
47,47,41,41,41
48,48,48,40,40
40,47,47,47,41
41,41,48,48,48
rh_tile_sched
PE1,PE2,PE3,PE4,PE5
0,0,0,0,0
0,0,0,0,7
7,7,7,7,7
7,7,7,14,14
14,14,14,14,14
14,14,14,14,14
1,1,1,1,1
1,1,1,1,8
8,8,8,8,8
8,8,8,15,15
15,15,15,15,15
15,15,15,15,15
2,2,2,2,2
2,2,2,2,9
9,9,9,9,9
9,9,9,16,16
16,16,16,16,16
16,16,16,16,16
23,23,23,23,23
23,23,23,23,17
17,17,17,17,17
17,17,17,17,17
17,24,24,24,24
24,24,24,24,24
31,31,31,31,31
31,25,25,25,25
25,25,25,25,25
32,32,32,32,32
32,40,40,40,40
40,40,47,47,47
47,47,47,41,41
41,41,41,41,48
48,48,48,48,48
output_tile_incr_sched
PE1,PE2,PE3,PE4,PE5
0,0,0,7,7
7,14,14,14,0
0,0,7,7,7
14,14,14,0,0
0,7,7,7,14
14,14,21,21,21
1,1,1,8,8
8,15,15,15,1
1,1,8,8,8
15,15,15,1,1
1,8,8,8,15
15,15,22,22,22
2,2,2,9,9
9,16,16,16,2
2,2,9,9,9
16,16,16,2,2
2,9,9,9,16
16,16,23,23,23
16,16,16,23,23
23,30,30,30,3
3,3,10,10,10
17,17,17,24,24
24,17,17,17,24
24,24,31,31,31
24,24,24,31,31
31,18,18,18,25
25,25,32,32,32
25,25,25,32,32
32,40,40,40,47
47,47,40,40,40
47,47,47,41,41
41,48,48,48,41
41,41,48,48,48
rh_tile_col_sched
PE1,PE2,PE3,PE4,PE5
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
0,1,2,0,1
2,0,1,2,0
1,2,0,1,2
