curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
40,40,40,40,40,40,40,40
15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8
40,40,40,40,40,40,40,40
23,15,23,23,23,23,23,23
22,14,22,22,22,22,22,22
21,13,21,21,21,21,21,21
20,12,20,20,20,20,20,20
19,11,19,19,19,19,19,19
18,10,18,18,18,18,18,18
17,9,17,17,17,17,17,17
16,8,16,16,16,16,16,16
40,40,40,40,40,40,40,40
31,23,23,31,31,31,31,31
30,22,22,30,30,30,30,30
29,21,21,29,29,29,29,29
28,20,20,28,28,28,28,28
27,19,19,27,27,27,27,27
26,18,18,26,26,26,26,26
25,17,17,25,25,25,25,25
24,16,16,24,24,24,24,24
40,40,40,40,40,40,40,40
39,31,31,31,39,39,39,39
38,30,30,30,38,38,38,38
37,29,29,29,37,37,37,37
36,28,28,28,36,36,36,36
35,27,27,27,35,35,35,35
34,26,26,26,34,34,34,34
33,25,25,25,33,33,33,33
32,24,24,24,32,32,32,32
40,40,40,40,40,40,40,40
7,39,39,39,39,7,7,7
6,38,38,38,38,6,6,6
5,37,37,37,37,5,5,5
4,36,36,36,36,4,4,4
3,35,35,35,35,3,3,3
2,34,34,34,34,2,2,2
1,33,33,33,33,1,1,1
0,32,32,32,32,40,40,40
0,40,0,0,0,7,7,7
0,7,0,0,0,6,6,6
0,6,0,0,0,5,5,5
0,5,0,0,0,4,4,4
0,4,0,0,0,3,3,3
0,3,0,0,0,2,2,2
0,2,0,0,0,1,1,1
0,1,0,0,0,0,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14
13,13,13,13,13,13,13,13
12,12,12,12,12,12,12,12
11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10
9,9,9,9,9,9,9,9
8,8,8,8,8,8,8,8
0,0,0,0,0,0,0,0
23,15,23,23,23,23,23,23
22,14,22,22,22,22,22,22
21,13,21,21,21,21,21,21
20,12,20,20,20,20,20,20
19,11,19,19,19,19,19,19
18,10,18,18,18,18,18,18
17,9,17,17,17,17,17,17
16,8,16,16,16,16,16,16
0,0,0,0,0,0,0,0
31,23,23,31,31,31,31,31
30,22,22,30,30,30,30,30
29,21,21,29,29,29,29,29
28,20,20,28,28,28,28,28
27,19,19,27,27,27,27,27
26,18,18,26,26,26,26,26
25,17,17,25,25,25,25,25
24,16,16,24,24,24,24,24
0,0,0,0,0,0,0,0
39,31,31,31,39,39,39,39
38,30,30,30,38,38,38,38
37,29,29,29,37,37,37,37
36,28,28,28,36,36,36,36
35,27,27,27,35,35,35,35
34,26,26,26,34,34,34,34
33,25,25,25,33,33,33,33
32,24,24,24,32,32,32,32
0,0,0,0,0,0,0,0
7,39,39,39,39,7,7,7
6,38,38,38,38,6,6,6
5,37,37,37,37,5,5,5
4,36,36,36,36,4,4,4
3,35,35,35,35,3,3,3
2,34,34,34,34,2,2,2
1,33,33,33,33,1,1,1
0,32,32,32,32,0,0,0
0,0,0,0,0,7,7,7
0,7,0,0,0,6,6,6
0,6,0,0,0,5,5,5
0,5,0,0,0,4,4,4
0,4,0,0,0,3,3,3
0,3,0,0,0,2,2,2
0,2,0,0,0,1,1,1
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,15,16,17,18,19,20,21
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,22,23,24,25,26,27,28
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,29,30,31,32,33,34,35
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,1,2,3
-1,36,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
-1,7,37,38,39,4,5,6
