swept_value,num_fproc_PEs,num_bproc_PEs,block_size,single_compute_time_cycles
1,1,1,1,10
2,2,2,2,14
3,3,3,3,18
4,4,4,4,22
5,5,5,5,26
6,6,6,6,30
7,7,7,7,34
8,8,8,8,38
9,9,9,9,42
10,10,10,10,46
11,11,11,11,50
12,12,12,12,54
