829,399,305,207,223,239,157,463,247,201,151,159,167,127,341,197,165,133,139,143,117,275,167,145,119,123,127,107,241,155,137,117,119,123,107,219,147,131,115,117,119,107,193,133,119,105,107,109,97,790,360,266,168,184,200,118,424,208,162,112,120,128,88,302,158,126,94,100,104,78,236,128,106,80,84,88,68,202,116,98,78,80,84,68,180,108,92,76,78,80,68,154,94,80,66,68,70,58,778,348,254,156,172,188,106,412,196,150,100,108,116,76,290,146,114,82,88,92,66,224,116,94,68,72,76,56,190,104,86,66,68,72,56,168,96,80,64,66,68,56,142,82,68,54,56,58,46,775,345,251,153,169,185,103,409,193,147,97,105,113,73,287,143,111,79,85,89,63,221,113,91,65,69,73,53,187,101,83,63,65,69,53,165,93,77,61,63,65,53,139,79,65,51,53,55,43,772,342,248,150,166,182,100,406,190,144,94,102,110,70,284,140,108,76,82,86,60,218,110,88,62,66,70,50,184,98,80,60,62,66,50,162,90,74,58,60,62,50,136,76,62,48,50,52,40,769,339,245,147,163,179,97,403,187,141,91,99,107,67,281,137,105,73,79,83,57,215,107,85,59,63,67,47,181,95,77,57,59,63,47,159,87,71,55,57,59,47,133,73,59,45,47,49,37,766,336,242,144,160,176,94,400,184,138,88,96,104,64,278,134,102,70,76,80,54,212,104,82,56,60,64,44,178,92,74,54,56,60,44,156,84,68,52,54,56,44,130,70,56,42,44,46,34
185868.75473764,185868.75473764,185868.75473764,185868.75473764,185868.75473764,185868.75473764,185868.75473764,202129.15925660002,202129.15925660002,202129.15925660002,202129.15925660002,202129.15925660002,202129.15925660002,202129.15925660002,218389.56377556,218389.56377556,218389.56377556,218389.56377556,218389.56377556,218389.56377556,218389.56377556,234649.96829452,234649.96829452,234649.96829452,234649.96829452,234649.96829452,234649.96829452,234649.96829452,250910.37281348,250910.37281348,250910.37281348,250910.37281348,250910.37281348,250910.37281348,250910.37281348,267170.77733244,267170.77733244,267170.77733244,267170.77733244,267170.77733244,267170.77733244,267170.77733244,283431.1818514,283431.1818514,283431.1818514,283431.1818514,283431.1818514,283431.1818514,283431.1818514,223088.10495632002,223088.10495632002,223088.10495632002,223088.10495632002,223088.10495632002,223088.10495632002,223088.10495632002,239348.50947528,239348.50947528,239348.50947528,239348.50947528,239348.50947528,239348.50947528,239348.50947528,255608.91399424,255608.91399424,255608.91399424,255608.91399424,255608.91399424,255608.91399424,255608.91399424,271869.31851320004,271869.31851320004,271869.31851320004,271869.31851320004,271869.31851320004,271869.31851320004,271869.31851320004,288129.72303216,288129.72303216,288129.72303216,288129.72303216,288129.72303216,288129.72303216,288129.72303216,304390.12755112,304390.12755112,304390.12755112,304390.12755112,304390.12755112,304390.12755112,304390.12755112,320650.53207008,320650.53207008,320650.53207008,320650.53207008,320650.53207008,320650.53207008,320650.53207008,260307.455175,260307.455175,260307.455175,260307.455175,260307.455175,260307.455175,260307.455175,276567.85969396,276567.85969396,276567.85969396,276567.85969396,276567.85969396,276567.85969396,276567.85969396,292828.26421292,292828.26421292,292828.26421292,292828.26421292,292828.26421292,292828.26421292,292828.26421292,309088.66873188,309088.66873188,309088.66873188,309088.66873188,309088.66873188,309088.66873188,309088.66873188,325349.07325084,325349.07325084,325349.07325084,325349.07325084,325349.07325084,325349.07325084,325349.07325084,341609.4777698,341609.4777698,341609.4777698,341609.4777698,341609.4777698,341609.4777698,341609.4777698,357869.88228876004,357869.88228876004,357869.88228876004,357869.88228876004,357869.88228876004,357869.88228876004,357869.88228876004,297526.80539368,297526.80539368,297526.80539368,297526.80539368,297526.80539368,297526.80539368,297526.80539368,313787.20991264004,313787.20991264004,313787.20991264004,313787.20991264004,313787.20991264004,313787.20991264004,313787.20991264004,330047.6144316,330047.6144316,330047.6144316,330047.6144316,330047.6144316,330047.6144316,330047.6144316,346308.01895056,346308.01895056,346308.01895056,346308.01895056,346308.01895056,346308.01895056,346308.01895056,362568.42346952,362568.42346952,362568.42346952,362568.42346952,362568.42346952,362568.42346952,362568.42346952,378828.82798848,378828.82798848,378828.82798848,378828.82798848,378828.82798848,378828.82798848,378828.82798848,395089.23250744,395089.23250744,395089.23250744,395089.23250744,395089.23250744,395089.23250744,395089.23250744,334746.15561236,334746.15561236,334746.15561236,334746.15561236,334746.15561236,334746.15561236,334746.15561236,351006.56013132003,351006.56013132003,351006.56013132003,351006.56013132003,351006.56013132003,351006.56013132003,351006.56013132003,367266.96465028,367266.96465028,367266.96465028,367266.96465028,367266.96465028,367266.96465028,367266.96465028,383527.36916924,383527.36916924,383527.36916924,383527.36916924,383527.36916924,383527.36916924,383527.36916924,399787.7736882,399787.7736882,399787.7736882,399787.7736882,399787.7736882,399787.7736882,399787.7736882,416048.17820716,416048.17820716,416048.17820716,416048.17820716,416048.17820716,416048.17820716,416048.17820716,432308.58272612,432308.58272612,432308.58272612,432308.58272612,432308.58272612,432308.58272612,432308.58272612,371965.50583104003,371965.50583104003,371965.50583104003,371965.50583104003,371965.50583104003,371965.50583104003,371965.50583104003,388225.91035,388225.91035,388225.91035,388225.91035,388225.91035,388225.91035,388225.91035,404486.31486896,404486.31486896,404486.31486896,404486.31486896,404486.31486896,404486.31486896,404486.31486896,420746.71938792,420746.71938792,420746.71938792,420746.71938792,420746.71938792,420746.71938792,420746.71938792,437007.12390688004,437007.12390688004,437007.12390688004,437007.12390688004,437007.12390688004,437007.12390688004,437007.12390688004,453267.52842584,453267.52842584,453267.52842584,453267.52842584,453267.52842584,453267.52842584,453267.52842584,469527.9329448,469527.9329448,469527.9329448,469527.9329448,469527.9329448,469527.9329448,469527.9329448,409184.85604972,409184.85604972,409184.85604972,409184.85604972,409184.85604972,409184.85604972,409184.85604972,425445.26056868,425445.26056868,425445.26056868,425445.26056868,425445.26056868,425445.26056868,425445.26056868,441705.66508764005,441705.66508764005,441705.66508764005,441705.66508764005,441705.66508764005,441705.66508764005,441705.66508764005,457966.06960660004,457966.06960660004,457966.06960660004,457966.06960660004,457966.06960660004,457966.06960660004,457966.06960660004,474226.47412556,474226.47412556,474226.47412556,474226.47412556,474226.47412556,474226.47412556,474226.47412556,490486.87864452007,490486.87864452007,490486.87864452007,490486.87864452007,490486.87864452007,490486.87864452007,490486.87864452007,506747.28316348005,506747.28316348005,506747.28316348005,506747.28316348005,506747.28316348005,506747.28316348005,506747.28316348005
684.1381028,705.93683044,729.8377173199999,755.84076344,783.9459688,814.1533334000001,846.46285724,894.9562056,938.55366088,986.3554346399999,1038.36152688,1094.5719376,1154.9866668,1219.60571448,1105.7743083999999,1171.1704913199999,1242.8731519599999,1320.88229032,1405.1979064,1495.8200002,1592.74857172,1316.5924112,1403.78732176,1499.3908692799998,1603.40305376,1715.8238752,1836.6533336,1965.89142896,1527.410514,1636.4041522,1755.9085865999998,1885.9238171999998,2026.449844,2177.486667,2339.0342862,1738.2286167999998,1869.0209826399998,2012.4263039199998,2168.44458064,2337.0758128,2518.3200004,2712.1771434400002,1949.0467196,2101.63781308,2268.94402124,2450.9653440800002,2647.7017816000002,2859.1533338000004,3085.3200006800002,1157.4581028,1179.25683044,1203.1577173199998,1229.16076344,1257.2659687999999,1287.4733334,1319.7828572399999,1368.2762056,1411.87366088,1459.6754346399998,1511.68152688,1567.8919376,1628.3066668000001,1692.92571448,1579.0943084,1644.4904913199998,1716.1931519599998,1794.20229032,1878.5179064,1969.1400002,2066.06857172,1789.9124112,1877.10732176,1972.7108692799998,2076.72305376,2189.1438752,2309.9733336,2439.21142896,2000.7305139999999,2109.7241522,2229.2285865999997,2359.2438171999997,2499.769844,2650.806667,2812.3542862,2211.5486167999998,2342.3409826399998,2485.7463039199997,2641.76458064,2810.3958128,2991.6400004,3185.49714344,2422.3667196,2574.95781308,2742.2640212399997,2924.28534408,3121.0217816,3332.4733338,3558.64000068,1630.7781028,1652.57683044,1676.47771732,1702.48076344,1730.5859688,1760.7933334,1793.10285724,1841.5962056,1885.1936608800002,1932.99543464,1985.00152688,2041.2119376,2101.6266668,2166.24571448,2052.4143083999998,2117.81049132,2189.51315196,2267.52229032,2351.8379064,2442.4600002,2539.38857172,2263.2324112,2350.4273217600003,2446.03086928,2550.04305376,2662.4638752,2783.2933336,2912.53142896,2474.050514,2583.0441522,2702.5485866,2832.5638172,2973.089844,3124.126667,3285.6742862,2684.8686168,2815.66098264,2959.06630392,3115.0845806400002,3283.7158128,3464.9600004000004,3658.81714344,2895.6867196000003,3048.2778130799998,3215.58402124,3397.60534408,3594.3417816,3805.7933338000003,4031.96000068,2104.0981028,2125.89683044,2149.7977173199997,2175.80076344,2203.9059687999998,2234.1133334,2266.4228572399998,2314.9162056,2358.51366088,2406.3154346399997,2458.32152688,2514.5319375999998,2574.9466668,2639.5657144799998,2525.7343084,2591.13049132,2662.8331519599997,2740.84229032,2825.1579064,2915.7800002,3012.70857172,2736.5524112,2823.74732176,2919.3508692799996,3023.36305376,3135.7838752,3256.6133336000003,3385.85142896,2947.370514,3056.3641522,3175.8685865999996,3305.8838171999996,3446.409844,3597.446667,3758.9942862,3158.1886168,3288.9809826399996,3432.3863039199996,3588.40458064,3757.0358128,3938.2800004,4132.13714344,3369.0067196,3521.59781308,3688.9040212399996,3870.9253440800003,4067.6617816,4279.1133338,4505.28000068,2577.4181028,2599.2168304399997,2623.11771732,2649.12076344,2677.2259688,2707.4333334,2739.74285724,2788.2362055999997,2831.83366088,2879.63543464,2931.64152688,2987.8519376,3048.2666668,3112.88571448,2999.0543084,3064.45049132,3136.15315196,3214.16229032,3298.4779064,3389.1000002,3486.02857172,3209.8724112,3297.0673217599997,3392.67086928,3496.68305376,3609.1038752,3729.9333336,3859.17142896,3420.690514,3529.6841522,3649.1885866,3779.2038172,3919.729844,4070.766667,4232.3142862,3631.5086168,3762.30098264,3905.7063039199998,4061.7245806399997,4230.3558128,4411.6000004,4605.45714344,3842.3267195999997,3994.91781308,4162.224021239999,4344.24534408,4540.9817815999995,4752.4333338,4978.60000068,3050.7381028,3072.53683044,3096.43771732,3122.44076344,3150.5459688,3180.7533334,3213.06285724,3261.5562056,3305.15366088,3352.95543464,3404.96152688,3461.1719376,3521.5866668,3586.20571448,3472.3743084,3537.77049132,3609.47315196,3687.48229032,3771.7979064,3862.4200002000002,3959.34857172,3683.1924112,3770.3873217600003,3865.99086928,3970.00305376,4082.4238752,4203.2533336,4332.49142896,3894.010514,4003.0041522,4122.5085866,4252.5238172,4393.049844,4544.086667,4705.6342862,4104.8286167999995,4235.62098264,4379.02630392,4535.04458064,4703.6758128,4884.9200004,5078.77714344,4315.6467196,4468.23781308,4635.54402124,4817.56534408,5014.3017816,5225.7533338,5451.92000068,3524.0581027999997,3545.8568304399996,3569.7577173199998,3595.7607634399997,3623.8659688,3654.0733333999997,3686.38285724,3734.8762055999996,3778.47366088,3826.2754346399997,3878.2815268799995,3934.4919376,3994.9066667999996,4059.52571448,3945.6943083999995,4011.0904913199997,4082.7931519599997,4160.80229032,4245.1179064,4335.7400001999995,4432.66857172,4156.512411199999,4243.70732176,4339.31086928,4443.323053759999,4555.7438752,4676.573333599999,4805.81142896,4367.330513999999,4476.3241522,4595.8285866,4725.8438172,4866.369844,5017.406666999999,5178.9542862,4578.148616799999,4708.94098264,4852.34630392,5008.36458064,5176.9958128,5358.2400004,5552.09714344,4788.9667196,4941.5578130799995,5108.86402124,5290.885344079999,5487.6217816,5699.0733338,5925.24000068
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7
1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
