swept_value,num_fproc_PEs,num_bproc_PEs,block_size,single_compute_time_cycles
1,1,1,1,10
2,2,2,2,14
3,3,3,3,18
4,4,4,4,22
5,5,5,5,26
6,6,6,6,30
7,7,7,7,34
8,7,4,8,52
9,7,5,9,60
10,7,5,10,68
11,7,6,6,88
12,7,6,6,96
